K;Solver;MinSilhouette;silhouette;Cal-Harabasz;DBCV;ANMI;perplexity;wordEmbedding;docEmbedding;docEmbedding2;listClustering
2;mcla;-1;0.3661373158714664;6028.615776665372;-0.7205302284773827;0.42981192180387995;200;cbow;WMD;MDS;kmeans-gmm
2;mcla;0;0.36627317411875293;6033.359970907679;-0.720535294403387;0.4299770469482979;200;cbow;WMD;MDS;kmeans-gmm
3;mcla;-1;0.3509820215340277;6485.98845931332;-0.7915027098844876;0.4920673545570088;200;cbow;WMD;MDS;kmeans-gmm
3;mcla;0;0.3510552949509245;6487.470205481666;-0.7955979218637479;0.4922022385922159;200;cbow;WMD;MDS;kmeans-gmm
4;mcla;-1;0.3684279487209285;7825.08085045201;-0.7108105827317045;0.5953105366649943;200;cbow;WMD;MDS;kmeans-gmm
4;mcla;0;0.3687521706238826;7835.99956362295;-0.7114411953959692;0.5953108277095728;200;cbow;WMD;MDS;kmeans-gmm
5;mcla;-1;0.33598178328983924;6992.002730961104;-0.7374102724728683;0.6121049172886212;200;cbow;WMD;MDS;kmeans-gmm
5;mcla;0;0.33589455926014705;6990.510866197472;-0.7379120915194164;0.6123790682044109;200;cbow;WMD;MDS;kmeans-gmm
6;mcla;-1;0.3338557530955593;7950.368228163485;-0.7006760538546025;0.6467816288444913;200;cbow;WMD;MDS;kmeans-gmm
6;mcla;0;0.33363331391761875;7939.345301487455;-0.7005114207268025;0.6464388072318789;200;cbow;WMD;MDS;kmeans-gmm
7;mcla;-1;0.36364662564656364;8532.18119852684;-0.6791367086591861;0.6699032553486933;200;cbow;WMD;MDS;kmeans-gmm
7;mcla;0;0.36366430327498;8537.513473204326;-0.6703609967942727;0.6697707935836474;200;cbow;WMD;MDS;kmeans-gmm
8;mcla;-1;0.35784493236782716;8644.428896408452;-0.7006648127079024;0.6680204990257923;200;cbow;WMD;MDS;kmeans-gmm
8;mcla;0;0.3578398339225376;8641.86287923254;-0.6949691207093353;0.667875286956541;200;cbow;WMD;MDS;kmeans-gmm
9;mcla;-1;0.3359987599085323;8538.191535568538;-0.7210973577541914;0.6819511115865021;200;cbow;WMD;MDS;kmeans-gmm
9;mcla;0;0.33605552816648315;8535.533219937888;-0.7273489644124655;0.6821904411748109;200;cbow;WMD;MDS;kmeans-gmm
10;mcla;-1;0.33243003398190635;8378.040592361996;-0.7129301109303445;0.6773344866298688;200;cbow;WMD;MDS;kmeans-gmm
10;mcla;0;0.33188711883975264;8400.578663753737;-0.7095322999578133;0.677455290093135;200;cbow;WMD;MDS;kmeans-gmm
11;mcla;-1;0.31654130442619555;7473.242992827833;-0.7120746237227067;0.666000334397817;200;cbow;WMD;MDS;kmeans-gmm
11;mcla;0;0.3163594943758986;7456.384928807053;-0.6895433333652113;0.6657492045889133;200;cbow;WMD;MDS;kmeans-gmm
12;mcla;-1;0.3261090616769096;8395.491707528656;-0.7118069349525935;0.6711971138025857;200;cbow;WMD;MDS;kmeans-gmm
12;mcla;0;0.32562486085049425;8382.853764128067;-0.6998113323427984;0.6711573737284412;200;cbow;WMD;MDS;kmeans-gmm
13;mcla;-1;0.29592400167385213;8017.278975326935;-0.7061699580736552;0.6690074440672448;200;cbow;WMD;MDS;kmeans-gmm
13;mcla;0;0.29655301077725904;8030.1338268934405;-0.7042652171563545;0.6689456359095167;200;cbow;WMD;MDS;kmeans-gmm
14;mcla;-1;0.25127732572143613;7320.4815799640055;-0.6959946055966403;0.6737855970547787;200;cbow;WMD;MDS;kmeans-gmm
14;mcla;0;0.25063436425320357;7303.944416365017;-0.6971697988425517;0.673701623059068;200;cbow;WMD;MDS;kmeans-gmm
